Predmet	Pitanje	Tip_pitanja	Odgovor_A	Odgovor_B	Odgovor_C	Odgovor_D	Odgovor_E	Odgovor_F	Tocan_odgovor	Napomena	Pregledano	Provjereno
UMS	Zavoji kralježnice su:	visestruki_izbor	Vratna (cervikalna) i lumbalna (slabinska) kifoza (Kifoza- izbačenje kralježnice prema natrag)	Vratna i lumbalna lordoza (Lordoza- izbačena kralježnica prema naprijed)	Torakalna (grudna) i sakralna (krstačna) lordoza	Torakalna i vratna			B	Fiziološki zavoji kralježnice uključuju lordoze i kifoze. Prema anatomskim standardima (koji su djelomično opisani u samim opcijama pitanja): • Lordoza je zakrivljenost kralježnice prema naprijed i ona je karakteristična za vratni (cervikalni) i lumbalni (slabinski) dio kralježnice. • Kifoza je zakrivljenost prema natrag i karakteristična je za torakalni (prsno-leđni) i sakralni (krstačni) dio. U izvorima se spominju ovi dijelovi kralježnice u različitim kontekstima: • Vratni kralješci (cervikalna regija) spominju se u kontekstu zglobova i rotacije. • Slabinski (lumbalni) kralješci navode se kao polazište bočnoslabinskog mišića (m. iliopsoas). • Križna (sakralna) kost spominje se kao dio kliznog zgloba sa zdjeličnom kosti te kao hvatište velikog stražnjičnog mišića.	TRUE	TRUE
UMS	Ljudski prsni koš građen je od:	visestruki_izbor	Prsne kosti i 12 rebara	Prsne kosti i 8 pari rebara	Prsne kosti i 12 pari rebara	Prsne kosti i 8 rebara			C	Ljudski prsni koš (thorax) funkcionalno je dio kostura koji, prema izvorima, oblikuje šupljine čija je zadaća zaštita osjetljivih vitalnih organa poput srca i pluća. Iako isječci iz vašeg dokumenta ne navode eksplicitno točan broj rebara, oni opisuju sustav organa za pokretanje (lokomotorni sustav) i kosti kao njegov pasivni dio. Anatomske činjenice (koje nisu izravno navedene u tekstu, ali su nužne za potvrdu točnosti pitanja) potvrđuju sljedeće: • Prsna kost (sternum) nalazi se na prednjoj strani prsnog koša. • 12 pari rebara (ukupno 24 rebra) spaja se sa stražnje strane s kralježnicom, a većina njih s prednje strane s prsnom kosti, tvoreći zaštitni kavez. U izvorima se spominju regije tijela (poput trupa) i podjela kostiju na duge, kratke i plosnate, pri čemu su rebra i prsna kost tipični primjeri kostiju koje štite unutrašnje organe. Budući da dokument navodi da u tijelu ima ukupno 205-206 kostiju, rebra čine značajan dio tog broja.	TRUE	TRUE
UMS	Koljenski zglob NE sadrži:	visestruki_izbor	Prednji križni ligament	Stražnji križni ligament	Medijalni i lateralni menisk	Medijalni križni ligament			D	Prema izvorima koji detaljno opisuju anatomiju koljenskog zgloba: • Križni ligamenti: Izvor navodi da se u sredini koljenskog zgloba nalaze dvije snažne ukrižene sveze – prednji i stražnji križni ligament (cruciatum anterior i posterior). Pojam "medijalni križni ligament" ne postoji u anatomskoj terminologiji opisanoj u tekstu. • Menisci: Između zglobnih tijela bedrene i goljenične kosti umetnuti su vanjski (lateralni) i unutrašnji (medijalni) meniskus. • Kolateralni ligamenti: Tekst spominje i lateralni i medijalni kolateralni ligament (pobočne sveze), koji se nalaze sa strana zgloba i onemogućavaju pokrete oko sagitalne osi, ali oni nisu "križni". Dakle, budući da koljeno sadrži prednji i stražnji križni ligament te medijalni i lateralni menisk, odgovor D (Medijalni križni ligament) je točan jer je to struktura koju koljenski zglob ne sadrži.	TRUE	TRUE
UMS	Kosti podkoljenice su:	visestruki_izbor	Tibija i fibula	Femur i humena	Femur i tibija	Tibija i radius			A	Izvori jasno definiraju kosti koje čine kostur potkoljenice i sudjeluju u tvorbi njezinih zglobova: • Tibija (goljenična kost) i fibula (lisna kost) su kosti potkoljenice koje su snažnim ligamentima spojene s kostima stopala u skočnom zglobu. • U poglavlju koje opisuje mišiće potkoljenice, navodi se da oni polaze s prednje strane goljenične i lisne kosti. • Također, lateralna skupina mišića potkoljenice polazi s lateralne plohe lisne kosti (fibule). • Tibija se dodatno spominje kao kost čiji kondili (zglavci) tvore zglobne plohe koljenskog zgloba, dok se na njezin gornji dio (hrapavost tibije) hvata ligament patele. Ostali ponuđeni pojmovi odnose se na druge dijelove tijela: femur je bedrena kost (natkoljenica) koja tvori zglob kuka i koljena, humerus je nadlaktična kost, a radius (palčana kost) je dio podlaktice.	TRUE	TRUE
UMS	Mišići međusobno mogu djelovati kao:	visestruki_izbor	Antagonisti	Sinergisti	Agonisti	Svi odgovori su točni			D	Izvori navode da pojedini pokret u tijelu rijetko izvodi samo jedan mišić, već mišići međusobno djeluju u različitim ulogama ovisno o vrsti pokreta: • Agonisti: To su dva ili više mišića koji vrše isti pokret (npr. dvoglavi i nadlaktični mišić vrše fleksiju podlaktice). • Antagonisti: To su mišići koji vrše suprotni pokret u određenom zglobu (npr. dvoglavi i troglavi mišić nadlaktice vrše suprotne pokrete fleksije i ekstenzije). • Sinergisti: To su mišići koji sudjeluju pri izvođenju određenog pokreta, ali ga sami ne vrše, poput mišića trupa koji služe kao fiksatori pri pokretima ruku. Budući da su u izvorima navedene i definirane sve tri uloge (agonisti, antagonisti i sinergisti), odgovor da su svi ponuđeni odgovori točni je ispravan.	TRUE	TRUE
UMS	Prevencija iznenadne smrti na terenu provodi se:	visestruki_izbor	Jakim i redovitim treninzima	Čestim utakmicama	Redovitim predsezonskim sistematskim pregledima nogometaša	Suplemencijom			C	U poglavlju o obveznim zdravstvenim pregledima, izvori naglašavaju njihovu ključnu ulogu u prevenciji najtežih stanja: • Svrha pregleda: Navodi se da je bitno uočiti stanja koja tijekom sportske karijere mogu dovesti do različitih ozljeda ili životno ugrožavajućih stanja. • Vrijeme provođenja: Uobičajeno je da se ovi pregledi rade upravo na početku natjecateljske sezone (predsezonski). • Detekcija rizika: Pregledi srčano-žilnog sustava (koji uključuju klinički pregled i EKG) opisuju se kao jedini način ranog otkrivanja promjena koje mogu dovesti do iznenadnog srčanog zastoja na sportskom terenu. Dakle, redoviti predsezonski sistematski pregledi su primarna metoda kojom se nastoji spriječiti iznenadna smrt sportaša pravovremenim prepoznavanjem kardiovaskularnih rizika.	TRUE	TRUE
UMS	Optimalna priprema sportaša obuhvaća:	visestruki_izbor	Brzinu i izdržljivost	Snagu i koncentraciju	Iskustvo	A+B			D	Izvori ukazuju na to da optimalna priprema sportaša zahtijeva holistički pristup koji obuhvaća različite fiziološke i psihološke aspekte: • Brzina i izdržljivost (Opcija A): Izvori detaljno opisuju energetske sustave koji podupiru ove sposobnosti. Brzina i eksplozivnost ovise o alaktatnom anaerobnom sustavu (fosfageni sustav) koji je ključan za sprinteve i skokove. Izdržljivost je povezana s aerobnim kapacitetom koji omogućuje veći radijus kretanja, sporije trošenje zaliha energije i brži oporavak. Također se spominje "brzinska izdržljivost" kao spoj ova dva segmenta. • Snaga i koncentracija (Opcija B): Snaga (sila, jakost) je temeljni pojam u fiziologiji sporta, definiran kao djelovanje koje pokreće tijelo ili mijenja njegovo kretanje, a povećanje energetskih kapaciteta izravno utječe na razvoj jakosti. Iako se izvori primarno bave fiziologijom, koncentracija i drugi mentalni aspekti obuhvaćeni su pojmom "psihofizičke karakteristike" igrača, koje se navode kao ključni unutrašnji čimbenici u sportu. • Sveobuhvatnost pripreme: U uvodnom dijelu o fiziologiji sporta naglašava se da trener mora biti upoznat sa "svim vidovima vođenja i treniranja" te suvremenim znanstvenim spoznajama kako bi kvalitetno programirao trenažni proces i brinuo o zdravlju sportaša. Budući da optimalna priprema zahtijeva razvoj motoričkih sposobnosti (brzina, snaga, izdržljivost) uz uvažavanje psiholoških faktora (koncentracija), odgovor koji objedinjuje opcije A i B je najpotpuniji i točan.	TRUE	TRUE
UMS	Ponovno ozljeđivanje zahtijeva ________ oporavak.	otvoreno							30 % duži	Izvori izravno navode podatke o problemu ponovnog ozljeđivanja u nogometu: • Definicija i učestalost: Ponovno ozljeđivanje podrazumijeva isti tip ozljede na istoj lokaciji u manje od dva mjeseca od potpunog oporavka, a u nogometu se javlja u do 12 % slučajeva. • Trajanje oporavka: U izvoru se izričito navodi da je problem kod takvih ozljeda to što zahtijevaju "do tridesetak posto duži oporavak" u odnosu na ozljede koje se dogode prvi put. • Ozljede mišića: Kod specifičnih ozljeda mišića, učestalost ponavljanja je i veća (do 16 %), a literatura potvrđuje da liječenje takvih ponovljenih ozljeda traje duže, "čak do 30 %". Dakle, podatak o 30 % dužem oporavku izravno je potkrijepljen tekstom u poglavlju o povredama u nogometu.	TRUE	TRUE
UMS	Prema toku i nastavku ozljede mogu biti __________ i ________.	otvoreno							traumatske, kronicne	Izvori u poglavlju o povredama u nogometu izričito navode podjelu ozljeda prema njihovim vrstama, što odgovara kontekstu vašeg pitanja: • Traumatske ozljede podrazumijevaju akutna stanja kao što su natučenja, prijelomi ili rane. • Kronične ozljede se u tekstu definiraju kao ozljede koje najčešće podrazumijevaju sindrome prenaprezanja,. One nastaju pojavom mikrotrauma koje u početku ne pokazuju simptome, ali daljnjim napredovanjem uzrokuju bol prvo nakon aktivnosti, zatim tijekom aktivnosti, a u uznapredovalom stadiju i u mirovanju. Ova se podjela u izvoru koristi kako bi se razlikovale ozljede nastale djelovanjem nagle, jake sile (trauma) od onih koje nastaju postupno kroz vrijeme zbog ponavljanih opterećenja (kronične),.	TRUE	TRUE
UMS	Dobra suplementacija mora biti djelotvorna, ne štetna po zdravlje te _________________.	otvoreno							 djelotvorna ( poboljšana mogućnost izvedbe, nadopuna prehrani, usmjenerena individualnim potrebama, omogučiti brži oporavak organizma	• Nadopuna prehrani i poboljšana izvedba: U izvorima se navodi da je pri dugotrajnim aktivnostima poželjno uzimanje dodatne suplementacije ugljikohidratnim napitcima radi nadoknade ispražnjenih zaliha i odgode umora. • Brži oporavak: Navodi se da je jedan od ključnih ciljeva (povezan s aerobnim kapacitetom, ali primjenjiv i na oporavak općenito) brži oporavak između dionica visokog intenziteta i oporavak od trenažnih opterećenja. • Individualne potrebe: Iako se ne spominje izravno uz suplementaciju, tekst naglašava važnost individualnih bioloških i psihofizičkih karakteristika igrača pri procjeni rizika i vođenju treninga. 3. Prijedlog potpunog odgovora (izvan izvora): Budući da se radi o klasičnom pitanju iz medicine sporta, uobičajeni treći kriterij koji nadopunjuje „djelotvornost“ i „neškodljivost“ jest da suplementacija mora biti dopuštena (ili legalna, odnosno da nije na popisu zabranjenih dopinških sredstava). Iako ta riječ nije u tekstu, izvor spominje problem dopinga kod mladih sportaša. Zaključak i prijedlog: Vaš ponuđeni odgovor opisuje učinke dobre suplementacije, ali kao treći ključni uvjet u nizu (uz djelotvornost i neškodljivost) predlažem dopunu: • ...te dopuštena (legalna).	TRUE	TRUE
