Predmet	Pitanje	Tip_pitanja	Odgovor_A	Odgovor_B	Odgovor_C	Odgovor_D	Odgovor_E	Odgovor_F	Tocan_odgovor	Napomena	Pregledano	Provjereno
ZNR	Kojim se radnicima posebno moraju osigurati uvjeti rada bez štetnog djelovanja na život i zdravlje?	višestruki_izbor	mlađim od 18 godina	profesionalno oboljelim osobama	mladeži, ženama, invalidima i profesionalno oboljelim osobama				C	Prema izvorima, poslodavac je obvezan osigurati posebnu zaštitu na radu (odnosno uvjete rada bez štetnog djelovanja) sljedećim skupinama: • Maloljetnim radnicima (mladeži). • Trudnim radnicama, radnicama koje su nedavno rodile i radnicama koje doje. • Radnicima koji su oboljeli od profesionalne bolesti. • Radnicima s invaliditetom ili onima kod kojih je utvrđena smanjena i preostala radna sposobnost. Iako su i prva i druga opcija točne u smislu da te skupine zaista zahtijevaju posebnu zaštitu, treća opcija je najpotpunija jer obuhvaća sve kategorije koje izvori navode kao posebno osjetljive skupine radnika.	TRUE	TRUE
ZNR	Smatra li se ozljedom na radu i ozljeda radnika na redovitom putu od mjesta stanovanja do mjesta rada i obrnuto?	višestruki_izbor	da	ne					A	Iako se u samom tekstu priloženih izvora (Pravilnika) ne navodi eksplicitna definicija koja uključuje putovanje na posao, potvrđujem da je točan odgovor da na temelju sljedećeg: • Povezanost s radom: Izvori navode da se smatra da ozljeda na radu potječe od rada i da poslodavac za nju odgovara po načelu objektivne odgovornosti. • Temelj na Zakonu: Priloženi Pravilnici su doneseni na temelju Zakona o zaštiti na radu i drugih propisa koji uređuju ovo područje. • Informacija izvan izvora: Prema općim propisima u Republici Hrvatskoj (Zakon o obveznom zdravstvenom osiguranju), na kojima se temelji sustav zaštite na radu, ozljedom na radu smatra se i ozljeda radnika na redovitom putu od mjesta stanovanja do mjesta rada i obrnuto. Ovu informaciju je potrebno neovisno verificirati jer priloženi tekstovi u Članku 3. stavku 8. drugog dokumenta primarno fokus stavljaju na ozljede nastale u prostoru poslodavca ili drugom prostoru gdje radnik obavlja rad. Dakle, u standardnim ispitima iz zaštite na radu (ZNR), putovanje od mjesta stanovanja do mjesta rada smatra se ozljedom na radu.	TRUE	TRUE
ZNR	U kojem slučaju imate pravo odbiti rad zbog toga što na radnom mjestu nisu provedene mjere zaštite?	višestruki_izbor	ako primijetite da Vam na radnom mjestu prijeti neposredna opasnost po život	ako primijetite da Vam na radnom mjestu prijeti neposredna opasnost po zdravlje i život	ako primijetite da biste duljim radom na radnom mjestu mogli ugroziti život ili zdravlje				B	Prema izvorima, pravo na odbijanje rada definirano je na sljedeći način: • Pravo na odbijanje rada i napuštanje mjesta rada: Radnik ima pravo odbiti raditi i napustiti mjesto rada ako mu izravno prijeti rizik za život i zdravlje, a to pravo traje sve dok poslodavac ne poduzme korektivne mjere. • Zabrana prisile: Poslodavac ne smije zahtijevati od radnika da ostane na mjestu rada dok god postoji izravan i ozbiljan rizik za život i zdravlje. • Obveza obavještavanja: Radnik je dužan o prekidu rada odmah izvijestiti poslodavca, ovlaštenika ili stručnjaka zaštite na radu. • Prava tijekom prekida: Za vrijeme dok ne radi zbog izbjegavanja izloženosti takvom riziku, radnik ima pravo na plaću i druga prava iz radnog odnosa. Druga opcija je najtočnija jer izvori dosljedno navode prijetnju i životu i zdravlju kao uvjet za opravdano odbijanje rada.	TRUE	TRUE
ZNR	U kojem roku morate prijaviti svojem neposrednom rukovoditelju ozljedu koju ste doživjeli na radu ili prilikom dolaska ili odlaska s posla?	višestruki_izbor	u roku od 24 sata	u roku od 48 sati	u roku od 8 dana				A	• Obveza radnika: Prema članku 35. prvog dokumenta, ozlijeđeni radnik dužan se javiti neposrednom voditelju, stručnjaku zaštite na radu i Odsjeku za kadrovske poslove odmah po nastanku ozljede. Također, izvori navode da radnik mora odmah izvijestiti o svakoj činjenici koja predstavlja rizik za sigurnost i zdravlje. • Rok od 8 dana: Ovaj se rok u izvorima spominje isključivo kao obveza poslodavca da ozljedu na radu prijavi nadležnim institucijama (npr. HZZO-u), a ne kao rok u kojem radnik javlja rukovoditelju. • Rok od 48 sati: Ovaj se rok odnosi na obvezu ravnatelja da o teškoj ili smrtnoj ozljedi izvijesti Odbor zaštite na radu i inspekciju, ili na rok u kojem inspektor mora utvrditi činjenice nakon što radnik odbije raditi zbog opasnosti. Predloženi odgovor: Točan odgovor koji bi trebao biti ponuđen je: odmah (ili odmah po nastanku ozljede). Ukoliko na ispitu morate odabrati jedan od ponuđenih, opcija "u roku od 8 dana" se često pogrešno miješa s administrativnim rokom poslodavca, ali prema tekstu Pravilnika, radnikova je dužnost reagirati bez odgađanja (odmah).	TRUE	TRUE
ZNR	Koje zahtjeve sadrže osnovna pravila zaštite na radu?	višestruki_izbor	zahtjeve kojima mora udovoljavati sredstvo rada kada je u uporabi	zahtjeve što ih moraju ispunjavati osobe na radu te način i sredstva za sigurno obavljanje poslova	zahtjeve koji se odnose na zakonitost sigurnog rada, koje su u praksi provjerene				A	• Osnovna pravila zaštite na radu: Prema izvorima, osnovna pravila usmjerena su na objekte i sredstva rada. Članak 6. drugog dokumenta navodi da ona podrazumijevaju zaštitu od mehaničkih opasnosti, udara električne struje, sprečavanje požara, osiguranje radnog prostora, putova za prolaz, rasvjete, zaštitu od buke, vibracija i slično. Dakle, ona se bave tehničkim zahtjevima koje moraju ispunjavati sredstva i okoliš u kojem se radi. • Posebna pravila zaštite na radu: Druga opcija koju ste naveli zapravo opisuje posebna pravila. Članak 7. izvora jasno razlikuje da se posebna pravila primjenjuju ako se rizici ne mogu ukloniti osnovnim pravilima, te da ona sadrže uvjete koje moraju ispunjavati radnici (dob, stručna sprema, zdravlje) i način obavljanja poslova. • Priznata pravila zaštite na radu: Treća opcija se odnosi na priznata pravila, koja Članak 8. definira kao pravila iz stranih propisa ili u praksi provjerene načine koji se primjenjuju kada ne postoje propisana pravila. Zaključno: Osnovna pravila = sredstva rada i radni okoliš (Opcija 1). Posebna pravila = osobe na radu i radni postupci (Opcija 2). Priznata pravila = praksa i strani propisi (Opcija 3).	TRUE	TRUE
ZNR	Koje zahtjeve sadrže posebna pravila zaštite na radu?	višestruki_izbor	zahtjeve kojima mora udovoljavati sredstvo rada kada je u potrebi	zahtjeve što ih moraju ispunjavati osobe na radu te način i sredstva za sigurno obavljanje poslova	zahjteve koji se odnose na zakonitost sigurnog rada, koje su u praksi provjerene				B	Prema izvorima, posebna pravila zaštite na radu definirana su na sljedeći način: • Sadržaj pravila: Posebna pravila sadrže uvjete glede dobi života, spola, stručne spreme i osposobljenosti, zdravstvenog stanja, te duševnih i tjelesnih sposobnosti koje radnici moraju ispunjavati. • Primjena: Ona također propisuju način izvođenja određenih poslova ili radnih postupaka, obvezu korištenja osobnih zaštitnih sredstava, te postupanje s unesrećenim radnicima. • Uvjet primjene: Ova se pravila primjenjuju dodatno ako se rizici ne mogu ukloniti osnovnim pravilima zaštite na radu. Ostale ponuđene opcije odnose se na druge kategorije pravila: • Prva opcija (sredstva rada) odnosi se na osnovna pravila ZNR (Članak 6.). • Treća opcija (praksom provjereni zahtjevi) odnosi se na priznata pravila ZNR (Članak 8.).	TRUE	TRUE
ZNR	Kada se u pravilu tek smiju koristiti osobna zaštitna sredstva?	višestruki_izbor	uvijek kada je to potrebno	kada se tehničkim mjerama zaštite opasnosti ne mogu ukloniti	samo u slučaju nesporedno izloženosti radnika štetnim utjecajima radne okoline				B	Ovaj odgovor se temelji na sljedećim načelima iz izvora: • Prednost skupnih mjera: Jedno od općih načela prevencije je davanje prednosti skupnim mjerama zaštite (tehničkim mjerama koje štite sve) pred pojedinačnim (osobnim) mjerama. • Hijerarhija pravila: Osnovna pravila zaštite na radu (koja se bave tehničkom zaštitom sredstava rada i okoliša) imaju prednost u primjeni u odnosu na posebna pravila. • Dodatna primjena osobnih zaštitnih sredstava (OZS): Osobna zaštitna sredstva, koja spadaju u posebna pravila, koriste se tek ako se rizici za sigurnost i zdravlje ne mogu ukloniti ili se mogu samo djelomično ukloniti primjenom osnovnih (tehničkih) pravila zaštite na radu. Dakle, osobna zaštitna sredstva su "zadnja linija obrane" koja se koristi tek kada tehnička rješenja na samom izvoru opasnosti nisu dostatna.	TRUE	TRUE
ZNR	O čemu ovisi koja će se osobna zaštitna sredstva ili oprema primijeniti pri obavljanju određenog posla?	višestruki_izbor	izvoru i vrsti opasnosti	vrsti poslova i radnih zadataka te o vremenu izloženosti	organizaciji rada i primijenjenim kolektivnim mjerama zaštite				B	Evo detaljnog obrazloženja na temelju izvora: • Povezanost s vrstom posla i trajanjem: Prema izvorima, posebna pravila zaštite na radu (koja uključuju i uporabu osobnih zaštitnih sredstava - OZS) odnose se na način obavljanja poslova i radne postupke. Specifično se navodi da ta pravila obuhvaćaju upute o tome kako se poslovi moraju izvoditi, s posebnim naglaskom na trajanje posla. Trajanje posla izravno odgovara pojmu "vrijeme izloženosti" iz vašeg pitanja. • Procjena rizika kao temelj: Izvori navode da uporaba osobnih zaštitnih sredstava ovisi o Procjeni rizika i popisu poslova na kojima se ona moraju upotrebljavati. Procjena rizika analizira upravo prirodu posla i razinu izloženosti radnika određenim opasnostima ili štetnostima. • Dopunska primjena: Osobna zaštitna sredstva primjenjuju se kao dodatna mjera kada se rizici ne mogu ukloniti osnovnim pravilima, a njihova specifična primjena (koje sredstvo za koji posao) određuje se prema zahtjevima samog radnog procesa i vremenu koje radnik provede u uvjetima rizika. Iako prva opcija ("izvoru i vrsti opasnosti") zvuči logično jer je to dio procjene rizika, druga opcija je preciznija u kontekstu propisa jer obuhvaća i trajanje (vrijeme izloženosti) koje je u izvorima izričito navedeno kao faktor pri određivanju načina izvođenja poslova pod posebnim pravilima.	TRUE	TRUE
ZNR	Do koje težine se kod ručnog transporta smiju maksimalno opteretiti muškarci koji nisu profesionalni transportni radnici?	višestruki_izbor	do 20 kg	do 25 kg	do 50 kg				B	Obrazloženje: U vašim izvorima nije izričito navedena brojčana vrijednost u kilogramima za ručni transport tereta. Međutim, izvori navode ključna načela koja se primjenjuju na ovu situaciju: • Zaštita od prekomjernih napora: Jedno od osnovnih pravila zaštite na radu je osiguranje zaštite radnika od prekomjernih napora. • Organizacija rada: Poslodavac je obvezan organizirati radne postupke tako da se u najvećoj mjeri umanji jednostrano opterećenje i napori s ciljem smanjenja štetnog učinka na zdravlje. • Posebna pravila: Način na koji se moraju izvoditi određeni poslovi (poput ručnog prijenosa tereta) spada pod posebna pravila zaštite na radu. Napomena o informacijama izvan izvora: Budući da vaši dokumenti ne sadrže tehničke tablice s masama, ovaj se odgovor temelji na Pravilniku o zaštiti na radu pri ručnom prenošenju tereta koji se primjenjuje u Republici Hrvatskoj, a koji se u standardnim ispitima iz ZNR-a koristi kao izvor za ovo pitanje. Prema tim propisima, za muškarce koji nisu profesionalni transportni radnici, granica od 25 kg se uzima kao maksimalno preporučeno opterećenje pri povoljnim uvjetima, dok je 50 kg apsolutni maksimum za profesionalce u posebnim uvjetima. Preporučujem da ovu informaciju neovisno verificirate u tehničkim uputama specifičnim za vaše radno mjesto.	TRUE	TRUE
ZNR	Može li slaba osvijetljenost u radnim prostorijama štetno utjecati i na vidne sposobnosti radnika?	višestruki_izbor	ne može, jer vidne sposobnosti u radnim prostorijama ne ovise o vanjskim čimbenicima	može samo ako se uz slabu osvijetljenost povremeno pojavljuje i bliještanje	može, jer nastaje zamor očnog žovca, pa i trajna oštećenja vida				C	Evo obrazloženja temeljenog na izvorima: • Rasvjeta kao osnovno pravilo zaštite: Prema izvorima, osiguranje propisane rasvjete ubraja se u osnovna pravila zaštite na radu. To znači da je adekvatna rasvjeta tehnički uvjet koji radni prostor mora ispunjavati kako bi bio siguran za radnika. • Obveza ispitivanja: Poslodavac je izričito obvezan osigurati obavljanje ispitivanja razine rasvjete u radnom prostoru. Svrha ovih ispitivanja je upravo sprječavanje štetnih utjecaja na zdravlje radnika. • Zaštita zdravlja i vida: Cilj primjene pravila zaštite na radu je sprječavanje profesionalnih bolesti i drugih bolesti u vezi s radom. Izvori također navode obvezu preventivnih pregleda vida za radnike koji rade na računalu, što potvrđuje da se vidne sposobnosti smatraju ugroženima u specifičnim uvjetima rada. • Štetni učinci: Iako se u samom tekstu Pravilnika ne koristi medicinski termin "zamor očnog živca", izvori jasno navode da se pravila ZNR provode radi sprječavanja oštećenja zdravlja uzrokovanog opasnostima, štetnostima ili naporima na radu. Slaba osvijetljenost predstavlja fizikalni čimbenik radnog okoliša koji izravno utječe na naprezanje i zdravlje radnika. Dakle, potvrđuje se da je treći odgovor najtočniji jer prepoznaje izravnu uzročno-posljedičnu vezu između neadekvatne rasvjete i zdravstvenih oštećenja vida.	TRUE	TRUE
